TransactionID,Date,Product,CustomerID,SalesAmount,TargetSales,ExpenseAmount,Distributor
T00001,3/24/2024 0:00,Electronics,C0153,23338.87,31707.74,5656.54,Distributor B
T00002,9/13/2023 0:00,Home Appliances,C0001,45195.55,1638.79,796.09,Distributor C
T00003,7/12/2023 0:00,Food Products,C0066,48203.09,18432.21,5439.17,Distributor C
T00004,3/7/2022 0:00,Home Appliances,C0304,35133.13,54954.98,4213.57,Distributor B
T00005,2/21/2025 0:00,Medical Supplies,C0184,39883.07,20058.23,5835.26,Distributor D
T00006,6/10/2021 0:00,Auto Parts,C0131,5571.73,11785.87,9855.31,Distributor B
T00007,5/31/2024 0:00,Personal Care,C0294,7011.57,34237.54,693.29,Distributor D
T00008,6/14/2023 0:00,Electronics,C0407,48424.95,2262.08,5477.42,Distributor D
T00009,7/9/2021 0:00,Packaging Materials,C0182,33706.21,45302.13,9781.56,Distributor C
T00010,10/18/2023 0:00,Auto Parts,C0287,35062.72,26692.48,1270.35,Distributor D
T00011,3/5/2023 0:00,Electronics,C0281,47828.68,45199.99,1475.99,Distributor A
T00012,4/3/2021 0:00,Personal Care,C0309,23643.16,20670.49,7747.22,Distributor B
T00013,3/10/2022 0:00,Packaging Materials,C0448,6196.55,50960.23,5286.25,Distributor B
T00014,5/11/2021 0:00,Medical Supplies,C0106,4451.96,6498.14,420.22,Distributor C
T00015,3/30/2024 0:00,Auto Parts,C0040,26829.41,30331.75,8944.75,Distributor B
T00016,6/23/2025 0:00,Home Appliances,C0030,28926.03,49572.33,7683.45,Distributor D
T00017,8/17/2023 0:00,Home Appliances,C0187,742.73,8962.94,3347.92,Distributor C
T00018,1/16/2025 0:00,Office Supplies,C0067,26360.14,30944.13,2316.06,Distributor D
T00019,9/12/2022 0:00,Auto Parts,C0185,34340.64,35752.83,1322.67,Distributor B
T00020,3/16/2021 0:00,Medical Supplies,C0414,6465.44,37221.31,3452.58,Distributor A
T00021,6/4/2020 0:00,Beverages,C0067,9642.16,27533.5,9283.56,Distributor A
T00022,12/22/2020 0:00,Packaging Materials,C0240,20618.91,27858.35,675.69,Distributor B
T00023,4/3/2021 0:00,Office Supplies,C0187,9387.82,21787.79,9104.29,Distributor D
T00024,9/2/2023 0:00,Industrial Parts,C0469,43770.36,17359.07,5016.21,Distributor B
T00025,1/15/2023 0:00,Packaging Materials,C0376,7049.23,32611.18,8933.57,Distributor B
T00026,3/20/2024 0:00,Industrial Parts,C0414,23736.89,21351.22,1645.62,Distributor A
T00027,8/29/2024 0:00,Electronics,C0458,8151.07,19323.8,8637.15,Distributor C
T00028,12/30/2021 0:00,Beverages,C0161,19471.85,37311.97,132.59,Distributor C
T00029,5/19/2021 0:00,Beverages,C0252,32808.87,34862.37,8098.82,Distributor D
T00030,2/28/2025 0:00,Medical Supplies,C0400,26129.84,24295.14,6796.97,Distributor C
T00031,3/19/2020 0:00,Beverages,C0146,36916.59,26654.58,6598.53,Distributor B
T00032,1/5/2021 0:00,Auto Parts,C0008,3599.04,50094.23,2843,Distributor C
T00033,8/26/2020 0:00,Medical Supplies,C0468,30218.85,32735.48,3868.29,Distributor C
T00034,10/23/2021 0:00,Medical Supplies,C0017,20843.64,38533.42,9704.91,Distributor C
T00035,2/7/2022 0:00,Office Supplies,C0056,31301.98,30952.54,4555.65,Distributor A
T00036,9/2/2024 0:00,Industrial Parts,C0113,32857.63,15908.72,9071.7,Distributor D
T00037,12/1/2020 0:00,Office Supplies,C0380,20639.29,2391.4,8299.01,Distributor B
T00038,2/13/2024 0:00,Packaging Materials,C0162,2284.97,15791.24,4085.91,Distributor B
T00039,1/19/2022 0:00,Medical Supplies,C0401,41908.51,46730.89,5918.5,Distributor A
T00040,9/5/2022 0:00,Auto Parts,C0176,26873.77,25687.43,4089.81,Distributor B
T00041,7/7/2024 0:00,Medical Supplies,C0130,19870.23,26494.58,2329,Distributor C
T00042,11/12/2022 0:00,Office Supplies,C0109,38648.65,46808.46,6016.05,Distributor D
T00043,5/7/2022 0:00,Medical Supplies,C0244,47280.65,41369.35,9757.41,Distributor B
T00044,8/2/2021 0:00,Food Products,C0367,44779.84,54114.52,938.83,Distributor C
T00045,11/7/2023 0:00,Electronics,C0392,27774.72,48321.19,3043.89,Distributor B
T00046,8/2/2020 0:00,Medical Supplies,C0374,2038.17,52754.66,9182.83,Distributor D
T00047,2/28/2023 0:00,Food Products,C0344,18905.11,21771.05,2036.99,Distributor C
T00048,8/14/2025 0:00,Auto Parts,C0033,36833.86,36632.83,4490.13,Distributor C
T00049,8/24/2023 0:00,Personal Care,C0126,22355.41,44783.38,4772.31,Distributor A
T00050,12/8/2021 0:00,Packaging Materials,C0358,27787.2,53286.47,2267.51,Distributor B
T00051,1/10/2022 0:00,Packaging Materials,C0019,46503.29,54760.41,3645.01,Distributor C
T00052,9/12/2023 0:00,Medical Supplies,C0164,27236.7,53769.43,8120.85,Distributor A
T00053,9/23/2025 0:00,Auto Parts,C0102,45210.53,50618.44,8639.35,Distributor C
T00054,4/28/2022 0:00,Home Appliances,C0283,16912.2,29883.49,2495.75,Distributor B
T00055,7/25/2023 0:00,Beverages,C0316,34296.79,5297.19,4581.57,Distributor C
T00056,8/6/2020 0:00,Medical Supplies,C0262,14337.57,27389.36,4403.28,Distributor C
T00057,4/7/2024 0:00,Office Supplies,C0148,1085.04,20600.3,1413.85,Distributor D
T00058,10/22/2020 0:00,Electronics,C0491,10252.93,7211.39,3873.26,Distributor B
T00059,7/21/2023 0:00,Personal Care,C0469,15832.19,12717.48,8929.91,Distributor C
T00060,1/12/2025 0:00,Electronics,C0137,38930.96,7811.36,4987.53,Distributor D
T00061,12/24/2022 0:00,Personal Care,C0062,17138.22,19664.87,896.88,Distributor A
T00062,9/6/2022 0:00,Auto Parts,C0158,46409.43,7191.05,9744.43,Distributor D
T00063,10/12/2021 0:00,Home Appliances,C0273,27180.28,32961.29,776.15,Distributor A
T00064,7/20/2022 0:00,Office Supplies,C0277,38297.35,49441.53,7798.13,Distributor A
T00065,1/31/2022 0:00,Personal Care,C0124,40590.66,29706.69,2597.73,Distributor D
T00066,10/5/2020 0:00,Personal Care,C0381,18640.56,49915.45,9792.47,Distributor A
T00067,7/18/2022 0:00,Medical Supplies,C0316,1086.09,32379.19,9278.82,Distributor D
T00068,8/9/2023 0:00,Food Products,C0397,38094.16,3623.13,9984.53,Distributor A
T00069,7/11/2025 0:00,Food Products,C0191,47188.31,35635.68,3219.56,Distributor D
